name,countries,regions,status,finance,ownership,total_cost (USD),capacity(MW),fuel_type,Agriculture in GDP,Gas Rents (% of GDP),Oil Rents(% of GDP),Population (millions),GINI index,Political Stability,Corruption(0-100),External debt/GDP ratio,Imports of Goods and Services as % of GDP,Exports of Goods and Services (% of GDP),Democracy Score,Landlocked,Borders Russia,Borders China,Economic Complexity,Population Density /km2,status_label
Jumar HPS,Tajikistan',"Russia, Central Asia and the South Caucasus'",Delayed,N/A,N/A,3769000000,2000,Hydro',0.24,0.00,0.00,9.75,34,-0.61,25,0.41,0.38,0.17,0.02,Y,N,Y,94,72,0
Dushanbe-2 Power Plant Expansion,Tajikistan',"Russia, Central Asia and the South Caucasus'",Completed,BRI,SJSC,349000000,300,Coal',0.24,0.00,0.00,9.75,34,-0.61,25,0.41,0.38,0.17,0.02,Y,N,Y,94,72,1
Sanobod,Tajikistan',"Russia, Central Asia and the South Caucasus'",Delayed,N/A,state,400000000,200,Hydro',0.24,0.00,0.00,9.75,34,-0.61,25,0.41,0.38,0.17,0.02,Y,N,Y,94,72,0
Pish HPS,Tajikistan',"Russia, Central Asia and the South Caucasus'",Announced/Under Negotiation,N/A,SJSC,655000000,320,Hydro',0.24,0.00,0.00,9.75,34,-0.61,25,0.41,0.38,0.17,0.02,Y,N,Y,94,72,2
Shurob,Tajikistan',"Russia, Central Asia and the South Caucasus'",Delayed,N/A,SJSC,900000000,750,Hydro',0.24,0.00,0.00,9.75,34,-0.61,25,0.41,0.38,0.17,0.02,Y,N,Y,94,72,0
Rogun Hydroelectric Power Plant Unit II,Tajikistan',"Russia, Central Asia and the South Caucasus'",Completed,multilateral,state,650000000,600,Hydro',0.24,0.00,0.00,9.75,34,-0.61,25,0.41,0.38,0.17,0.02,Y,N,Y,94,72,1
Sangtuda Phase I,Tajikistan',"Russia, Central Asia and the South Caucasus'",Completed,bilateral,SJSC,720000000,670,Hydro',0.24,0.00,0.00,9.75,34,-0.61,25,0.41,0.38,0.17,0.02,Y,N,Y,94,72,1
Rogun Hydroelectric Power Plant Unit I,Tajikistan',"Russia, Central Asia and the South Caucasus'",Completed,multilateral,state,650000000,600,Hydro',0.24,0.00,0.00,9.75,34,-0.61,25,0.41,0.38,0.17,0.02,Y,N,Y,94,72,1
Shtien,Tajikistan',"Russia, Central Asia and the South Caucasus'",Delayed,N/A,state,320000000,160,Hydro',0.24,0.00,0.00,9.75,34,-0.61,25,0.41,0.38,0.17,0.02,Y,N,Y,94,72,0
Granite gate HPS,Tajikistan',"Russia, Central Asia and the South Caucasus'",Delayed,N/A,state,4020000000,2100,Hydro',0.24,0.00,0.00,9.75,34,-0.61,25,0.41,0.38,0.17,0.02,Y,N,Y,94,72,0
Rogunskaya,Tajikistan',"Russia, Central Asia and the South Caucasus'",Under Construction,multilateral,state,3600000000,3600,Hydro',0.24,0.00,0.00,9.75,34,-0.61,25,0.41,0.38,0.17,0.02,Y,N,Y,94,72,1
Sangistan,Tajikistan',"Russia, Central Asia and the South Caucasus'",Delayed,N/A,state,320000000,140,Hydro',0.24,0.00,0.00,9.75,34,-0.61,25,0.41,0.38,0.17,0.02,Y,N,Y,94,72,0
Dushanbe-2 Power Plant,Tajikistan',"Russia, Central Asia and the South Caucasus'",Completed,BRI,SJSC,180000000,100,Coal',0.24,0.00,0.00,9.75,34,-0.61,25,0.41,0.38,0.17,0.02,Y,N,Y,94,72,1
Barshor,Tajikistan',"Russia, Central Asia and the South Caucasus'",Delayed,N/A,state,619000000,300,Hydro',0.24,0.00,0.00,9.75,34,-0.61,25,0.41,0.38,0.17,0.02,Y,N,Y,94,72,0
Fan-Yagnob,Tajikistan',"Russia, Central Asia and the South Caucasus'",Announced/Under Negotiation,state-financed,SJSC,240000000,500,Hydro',0.24,0.00,0.00,9.75,34,-0.61,25,0.41,0.38,0.17,0.02,Y,N,Y,94,72,2
Nurek Hydropower Plant Rehabilitation Project Phase I,Tajikistan',"Russia, Central Asia and the South Caucasus'",Under Construction,multilateral,SJSC,350000000,157,Hydro',0.24,0.00,0.00,9.75,34,-0.61,25,0.41,0.38,0.17,0.02,Y,N,Y,94,72,1
Sebzor,Tajikistan',"Russia, Central Asia and the South Caucasus'",Announced/Under Negotiation,multilateral,SJSC,52990000,11,Hydro',0.24,0.00,0.00,9.75,34,-0.61,25,0.41,0.38,0.17,0.02,Y,N,Y,94,72,2
Anderob,Tajikistan',"Russia, Central Asia and the South Caucasus'",Delayed,N/A,state,1291000000,180,Hydro',0.24,0.00,0.00,9.75,34,-0.61,25,0.41,0.38,0.17,0.02,Y,N,Y,94,72,0
Sangtuda Phase II,Tajikistan',"Russia, Central Asia and the South Caucasus'",Completed,bilateral,SJSC,180000000,115,Hydro',0.24,0.00,0.00,9.75,34,-0.61,25,0.41,0.38,0.17,0.02,Y,N,Y,94,72,1
Aynin,Tajikistan',"Russia, Central Asia and the South Caucasus'",Delayed,N/A,state,180000000,160,Hydro',0.24,0.00,0.00,9.75,34,-0.61,25,0.41,0.38,0.17,0.02,Y,N,Y,94,72,0
Fandarya,Tajikistan',"Russia, Central Asia and the South Caucasus'",Delayed,N/A,state,232022000,160,Hydro',0.24,0.00,0.00,9.75,34,-0.61,25,0.41,0.38,0.17,0.02,Y,N,Y,94,72,0
Dupulin,Tajikistan',"Russia, Central Asia and the South Caucasus'",Delayed,N/A,state,180000000,90,Hydro',0.24,0.00,0.00,9.75,34,-0.61,25,0.41,0.38,0.17,0.02,Y,N,Y,94,72,0
Urfatin,Tajikistan',"Russia, Central Asia and the South Caucasus'",Delayed,N/A,state,320000000,160,Hydro',0.24,0.00,0.00,9.75,34,-0.61,25,0.41,0.38,0.17,0.02,Y,N,Y,94,72,0
Hostav HPS,Tajikistan',"Russia, Central Asia and the South Caucasus'",Delayed,N/A,state,2309000000,1200,Hydro',0.24,0.00,0.00,9.75,34,-0.61,25,0.41,0.38,0.17,0.02,Y,N,Y,94,72,0
SES Saran Solar PV Park,Kazakhstan',"Russia, Central Asia and the South Caucasus'",Completed,multilateral,Multinational,157685000,100,Solar PV',0.05,0.01,0.09,19,27.8,-0.25,37,0.78,0.26,0.30,0.06,Y,Y,Y,81,7,1
Ekibastuz GRES-2 Expansion,Kazakhstan',"Russia, Central Asia and the South Caucasus'",Delayed,multilateral,private,1367000000,636,Coal',0.05,0.01,0.09,19,27.8,-0.25,37,0.78,0.26,0.30,0.06,Y,Y,Y,81,7,0
